betweenness harmonic.cent betweenness.scaled harmonic.cent.scaled
7548 119.643781815879 0.0348748018508041 0.244294089115941
179757.75520196 197.570293255936 6.94187130866967 2.00244787963045
0 122.014867687165 -0.267860717239438 0.2977897934045
0 139.163635192225 -0.267860717239438 0.684694968992477
0 139.030301858892 -0.267860717239438 0.681686743664922
0 127.890697412995 -0.267860717239438 0.430358441916788
0 99.985211121009 -0.267860717239438 -0.199236487892758
0 96.9114015971996 -0.267860717239438 -0.268586825354766
0 91.7412318158131 -0.267860717239438 -0.385234592985691
75462.8385292654 155.782626938913 2.75880616063288 1.0596475081735
0 91.7412318158131 -0.267860717239438 -0.385234592985691
8797 120.310448482546 0.0849697492996267 0.259335215753713
0 97.9292587400567 -0.267860717239438 -0.245622248077456
0 97.9292587400567 -0.267860717239438 -0.245622248077456
0 147.583270418763 -0.267860717239438 0.874656168521773
0 68.7152303628094 -0.267860717239438 -0.90474009870991
132713.903178156 172.403962703965 5.05503440320721 1.43465293237012
0 109.458530052268 -0.267860717239438 0.0144975966948395
0 77.6994990741868 -0.267860717239438 -0.702039813556512
0 77.6994990741868 -0.267860717239438 -0.702039813556512
32136 128.598397942786 1.02105139742458 0.446325361852093
0 97.1711123884573 -0.267860717239438 -0.262727311004012
0 77.7161657408535 -0.267860717239438 -0.701663785390568
0 97.9280682638662 -0.267860717239438 -0.245649107232166
0 97.9280682638662 -0.267860717239438 -0.245649107232166
0 100.562755427621 -0.267860717239438 -0.186206112310742
0 128.897285074896 -0.267860717239438 0.45306876065879
0 146.915789043929 -0.267860717239438 0.859596660690935
0 92.4912318158131 -0.267860717239438 -0.368313325518197
0 108.682339576077 -0.267860717239438 -0.00301457217627902
0 9.83333333333333 -0.267860717239438 -2.2332152035488
0 105.955552165002 -0.267860717239438 -0.0645355043226728
0.5 138.196968525558 -0.267840663217241 0.662885335367704
0 103.498720057706 -0.267860717239438 -0.119965788603057
0 105.955552165002 -0.267860717239438 -0.0645355043226728
0 83.5801814539168 -0.267860717239438 -0.569361680971464
21245.645938475 104.903981079271 0.584260593252311 -0.0882607251263167
0 77.4494990741868 -0.267860717239438 -0.707680236045677
0 138.280301858892 -0.267860717239438 0.664765476197426
1261 89.2766056342374 -0.217284473257881 -0.440840724753462
0 0 -0.267860717239438 -2.45507182145593
1261 89.2766056342374 -0.217284473257881 -0.440840724753462
0 96.9114015971996 -0.267860717239438 -0.268586825354766
0 116.537829434927 -0.267860717239438 0.17421855447675
0 124.222021658701 -0.267860717239438 0.347586916996897
7.33333333333333 136.207069535659 -0.267566591580544 0.617989851312529
85846.0500276958 153.570135377178 3.17525646837018 1.00972995952592
0 0 -0.267860717239438 -2.45507182145593
0 0 -0.267860717239438 -2.45507182145593
0 103.155294623491 -0.267860717239438 -0.127714046773045
1261 139.830301858892 -0.217284473257881 0.699736095630252
0 140.76697952012 -0.267860717239438 0.720869126612203
0 6.36666666666667 -0.267860717239438 -2.31142906206521
16298 137.468713646322 0.385820190303324 0.646454674572959
0 128.359586662197 -0.267860717239438 0.440937375781307
0 143.429302164795 -0.267860717239438 0.780935624685946
11060.6028251977 163.496182103072 0.175758431904337 1.23367834825083
0 134.790402868992 -0.267860717239438 0.586027457207264
138861.358226236 190.792029599041 5.30159680318923 1.84951879655911
5027.81666666667 137.977339905684 -0.0662048231649938 0.657930142540486
2504.5 136.810673239017 -0.167410120053228 0.631608170924391
0 169.629815424327 -0.267860717239438 1.37206348155282
0 101.029422094288 -0.267860717239438 -0.175677323664302
0 119.362592601756 -0.267860717239438 0.237949985247749
89944 132.149155389673 3.3396172277861 0.526436450480068
0 140.51697952012 -0.267860717239438 0.715228704123039
0 135.179331001628 -0.267860717239438 0.594802333151202
0 74.886403836091 -0.267860717239438 -0.765507996136981
0 117.793527296166 -0.267860717239438 0.202549220301267
4.5 139.780301858892 -0.267680231039662 0.698608011132419
0 91.241231815813 -0.267860717239438 -0.396515437964021
0 116.793527296166 -0.267860717239438 0.17998753034461
0 116.793527296166 -0.267860717239438 0.17998753034461
0 77.4494990741868 -0.267860717239438 -0.707680236045677
0 129.535380312991 -0.267860717239438 0.467465267583511
427.211020166898 149.499937085429 -0.250726118676733 0.917899407605365
51787 178.563148757661 1.80921457782235 1.57361457849896
0 89.3658913485231 -0.267860717239438 -0.438826288150189
0 158.779515436404 -0.267860717239438 1.12726237728858
1261 134.894006572351 -0.217284473257881 0.588364931840807
11 5 -0.267419528751098 -2.34226337167264
12527 144.244340562258 0.234572754891386 0.799324268312277
0 124.222021658701 -0.267860717239438 0.347586916996897
0 123.764935652171 -0.267860717239438 0.337274284234059
8797 126.348268985505 0.0849697492996267 0.395558649955422
0 129.243616715914 -0.267860717239438 0.460882587765628
0 107.263200097752 -0.267860717239438 -0.0350327570915038
